TIcker	Company	CEO	Compensation	Compensation (M)	Median Worker Pay	Ratio
DHR	Danaher Corporation	Thomas Joyce	15361041	15.361041	73425	209
APA	Apache Corporation	John Christmann	15201447	15.201447	158214	96
UPS	United Parcel Service, Inc.	David Abney	15060876	15.060876	55417	272
DAL	Delta Air Lines, Inc.	Edward Bastian	14982448	14.982448	81355	184
BDX	Becton, Dickinson &amp; Co.	Vincent Forlenza	14973481	14.973481	44118	339
MDLZ	Mondelez International, Inc.	Dirk de Put	14969900	14.969900	30639	489
D	Dominion Energy, Inc.	Thomas Farrell	14956442	14.956442	103761	144
ES	Eversource Energy	James Judge	14925381	14.925381	129401	115
GLW	Corning Incorporated	Wendell Weeks	14921071	14.921071	52095	286
DHI	D.R. Horton, Inc.	David Auld	14860487	14.860487	92304	161
MKC	McCormick &amp; Co., Inc.	Lawrence Kurzius	14836426	14.836426	35946	413
NWSA	News Corporation	Robert Thomson	14747659	14.747659	64666	228
ETN	Eaton Corporation plc	Craig Arnold	14673845	14.673845	55585	264
TRV	The Travelers Companies, Inc.	Alan Schnitzer	14648213	14.648213	95238	154
ICE	Intercontinental Exchange, Inc.	Jeffrey Sprecher	14513403	14.513403	138412	105
LNC	Lincoln National Corporation	Dennis Glass	14422495	14.422495	70828	204
CAG	Conagra Brands, Inc.	Sean Connolly	14392748	14.392748	45590	316
NDAQ	Nasdaq, Inc.	Adena Friedman	14366397	14.366397	111155	129
ECL	Ecolab Inc.	Douglas Baker	14364033	14.364033	54285	265
CPRI	Capri Holdings Limited	John Idol	14354013	14.354013	25700	559
AMT	American Tower Corporation	James Taiclet Jr.	14307936	14.307936	50695	282
LOW	Lowe's Companies, Inc.	Marvin Ellison	14302791	14.302791	22921	624
NSC	Norfolk Southern Corporation	James Squires	14271985	14.271985	98477	145
ULTA	Ulta Beauty, Inc.	Mary Dillon	14245418	14.245418	25666	555
MU	Micron Technology, Inc.	Sanjay Mehrotra	14241583	14.241583	56540	252
ANTM	Anthem, Inc.	Gail Boudreaux	14184276	14.184276	72308	196
PGR	The Progressive Corporation	Susan Griffith	14172925	14.172925	62925	225
APTV	Aptiv Plc	Kevin Clark	14123103	14.123103	5414	2609
OXY	Occidental Petroleum Corporation	Vicki Hollub	14105693	14.105693	124103	114
CTSH	Cognizant Technology Solutions Corporation	Francisco D'Souza	14094531	14.094531	34183	412
AMAT	Applied Materials, Inc.	Gary Dickerson	14064540	14.064540	113999	123
YUM	Yum! Brands, Inc.	Greg Creed	14007038	14.007038	11865	1181
DUK	Duke Energy Corporation	Lynn Good	13982960	13.982960	117132	119
BSX	Boston Scientific Corporation	Michael Mahoney	13970901	13.970901	62447	224
NKE	NIKE, Inc.	Mark Parker	13968022	13.968022	25386	550
PKI	PerkinElmer, Inc.	Robert Friel	13961376	13.961376	52594	265
TXT	Textron Inc.	Scott Donnelly	13948917	13.948917	97580	143
APD	Air Products &amp; Chemicals, Inc.	Seifollah Ghasemi	13941507	13.941507	50802	274
MNST	Monster Beverage Corporation	Rodney Sacks	13914931	13.914931	55370	251
SYK	Stryker Corporation	Kevin Lobo	13911065	13.911065	68841	202
UNP	Union Pacific Corporation	Lance Fritz	13886953	13.886953	79902	174
HIG	The Hartford Financial Services Group, Inc.	Christopher Swift	13883615	13.883615	104925	132
RL	Ralph Lauren Corporation	Patrice Louvet	13851684	13.851684	22787	608
NOV	National Oilwell Varco, Inc.	Clay Williams	13828435	13.828435	51917	266
CSX	CSX Corporation	James Foote	13770601	13.770601	105169	131
FTV	Fortive Corporation	James Lico	13720993	13.720993	56718	242
NVDA	NVIDIA Corporation	Jen-Hsun Huang	13642838	13.642838	155035	88
AIZ	Assurant, Inc.	Alan Colberg	13616946	13.616946	41399	329
URI	United Rentals, Inc.	Michael Kneeland	13598202	13.598202	75537	180
SWK	Stanley Black &amp; Decker, Inc.	James Loree	13563404	13.563404	47861	283
WBA	Walgreens Boots Alliance, Inc.	Stefano Pessina	13542260	13.542260	31132	435
MMM	3M Company	Inge Thulin	13530086	13.530086		
CCL	Carnival Corporation	Arnold Donald	13506884	13.506884	16622	813
USB	U.S. Bancorp	Andrew Cecere	13437128	13.437128	58354	230
CME	CME Group Inc.	Terrence Duffy	13416665	13.416665	137287	98
SBUX	Starbucks Corp.	Kevin Johnson	13382480	13.382480	12754	1049
AMD	Advanced Micro Devices, Inc.	Lisa Su	13356392	13.356392	80931	165
MYL	Mylan N.V.	Heather Bresch	13332368	13.332368	42407	314
NKTR	Nektar Therapeutics	Howard Robin	13330667	13.330667	198865	67
CXO	Concho Resources, Inc.	Timothy Leach	13317156	13.317156	156097	85
SHW	The Sherwin-Williams Company	John Morikis	13213749	13.213749	42447	311
NTAP	NetApp, Inc.	George Kurian	13164969	13.164969	198620	66
SO	The Southern Company	Thomas Fanning	13097691	13.097691	113035	116
EXPE	Expedia Group, Inc.	Mark Okerstrom	13089562	13.089562	67457	194
TROW	T. Rowe Price Group, Inc.	William Stromberg	13086753	13.086753	103773	126
COG	Cabot Oil &amp; Gas Corporation	Dan Dinges	13050320	13.050320	82714	158
JEC	Jacobs Engineering Group, Inc.	Steven Demetriou	13043688	13.043688	82898	157
KMB	Kimberly-Clark Corporation	Thomas Falk	13010083	13.010083	36637	355
MAR	Marriott International, Inc.	Arne Sorenson	12933992	12.933992	34594	374
IVZ	Invesco Ltd.	Martin Flanagan	12921609	12.921609	119367	108
WELL	Welltower, Inc.	Thomas DeRosa	12884453	12.884453	91803	140
WDC	Western Digital Corporation	Stephen Milligan	12866469	12.866469	10063	1279
MCHP	Microchip Technology Incorporated	Steve Sanghi	12864939	12.864939	41125	313
MGM	MGM Resorts International	James Murren	12849021	12.849021	36192	355
M	Macy's, Inc.	Jeffrey Gennette	12733691	12.733691	21885	582
WCG	WellCare Health Plans, Inc.	Kenneth Burdick	12675372	12.675372	81647	155
HES	Hess Corporation	John Hess	12572440	12.572440	178908	70
CE	Celanese Corporation	Mark Rohr	12514160	12.514160	81180	154
DVN	Devon Energy Corporation	David Hager	12459068	12.459068	158000	79
SYF	Synchrony Financial	Margaret Keane	12449138	12.449138	41933	297
RCL	Royal Caribbean Cruises Ltd.	Richard Fain	12422715	12.422715	19396	640
FISV	Fiserv, Inc.	Jeffery Yabuki	12410769	12.410769	78052	159
TPR	Tapestry, Inc.	Victor Luis	12362240	12.362240	25450	486
SPGI	S&amp;P Global, Inc.	Douglas Peterson	12360845	12.360845	26738	462
LH	Laboratory Corporation of America Holdings	David King	12264236	12.264236	43230	284
ROST	Ross Stores, Inc.	Barbara Rentler	12248994	12.248994	10027	1222
PFG	Principal Financial Group, Inc.	Daniel Houston	12227017	12.227017	82872	148
MRO	Marathon Oil Corporation	Lee Tillman	12210874	12.210874	116041	105
AEP	American Electric Power Co., Inc.	Nicholas Akins	12202028	12.202028	110125	111
XEL	Xcel Energy Inc.	Benjamin Fowke III	12147768	12.147768	108946	112
PNW	Pinnacle West Capital Corporation	Donald Brandt	12145522	12.145522	133779	91
EOG	EOG Resources, Inc.	William Thomas	12042335	12.042335	161964	74
KR	The Kroger Co.	W. McMullen	12037872	12.037872	24912	483
AAL	American Airlines Group Inc.	W. Parker	11999517	11.999517	61527	195
PXD	Pioneer Natural Resources Company	Timothy Dove	11936791	11.936791	123103	97
WHR	Whirlpool Corporation	Marc Bitzer	11836275	11.836275	20485	578
RSG	Republic Services, Inc.	Donald Slager	11787571	11.787571	64257	183
PPG	PPG Industries, Inc.	Michael McGarry	11784404	11.784404	39494	298
HSY	The Hershey Company	Michele Buck	11718372	11.718372	29270	400
A	Agilent Technologies, Inc.	Michael McMullen	11708230	11.708230	68579	171
ZTS	Zoetis Inc.	Juan Alaix	11669400	11.669400	75366	155
MAS	Masco Corporation	Keith Allman	11636439	11.636439	38769	300
VNO	Vornado Realty Trust	Steven Roth	11599270	11.599270	61701	188
CL	Colgate-Palmolive Co.	Ian Cook	11551328	11.551328	24513	471
ABC	AmerisourceBergen Corp.	Steven Collis	11514115	11.514115	56892	202
IT	Gartner, Inc.	Eugene Hall	11502517	11.502517	107147	107
NEM	Newmont Goldcorp Corp.	Gary Goldberg	11393771	11.393771	122229	93
FRC	First Republic Bank	James Herbert	11383073	11.383073	139100	82
HD	The Home Depot, Inc.	Craig Menear	11366662	11.366662	23389	486
HFC	HollyFrontier Corporation	George Damiris	11350368	11.350368	138586	82
AKAM	Akamai Technologies, Inc.	F. Leighton	11347676	11.347676	110359	103
PPL	PPL Corporation	William Spence	11338785	11.338785	81211	140
IRM	Iron Mountain Incorporated	William Meaney	11287272	11.287272	38764	291
NBL	Noble Energy, Inc.	David Stover	11213168	11.213168	124842	90
WY	Weyerhaeuser Company	Doyle Simons	11191321	11.191321	70427	159
FITB	Fifth Third Bancorp	Greg Carmichael	11173652	11.173652	64186	174
RJF	Raymond James Financial, Inc.	Paul Reilly	11123643	11.123643	92950	120
FE	FirstEnergy Corp.	Charles Jones	11123128	11.123128	96805	115
ILMN	Illumina, Inc.	Francis deSouza	11067566	11.067566	107884	103
ADI	Analog Devices, Inc.	Vincent Roche	11007691	11.007691	53821	205
EQR	Equity Residential	David Neithercut	11004730	11.004730	57841	190
DTE	DTE Energy Company	Gerard Anderson	10986809	10.986809	120861	91
BLL	Ball Corporation	John Hayes	10941645	10.941645	73843	148
TIF	Tiffany &amp; Co.	Alessandro Bogliolo	10940139	10.940139	33642	325
TSS	Total System Services, Inc.	M. Woods	10854560	10.854560	65850	165
SYY	Sysco Corporation	Thomas Bene	10732619	10.732619	70801	152
DRI	Darden Restaurants, Inc.	Eugene Lee Jr.	10710578	10.710578	18175	589
WMB	The Williams Companies, Inc.	Alan Armstrong	10691375	10.691375	122742	87
DG	Dollar General Corporation	Todd Vasos	10602517	10.602517	13773	770
LEG	Leggett &amp; Platt, Incorporated	Karl Glassman	10567930	10.567930	32182	328
MCO	Moody's Corporation	Raymond McDaniel	10556511	10.556511	67772	156
FANG	Diamondback Energy, Inc.	Travis Stice	10549163	10.549163	122919	86
MOS	The Mosaic Company	James O'Rourke	10526054	10.526054	41594	253
UAL	United Airlines Holdings, Inc.	Oscar Munoz	10493832	10.493832	72924	144
GWW	W.W. Grainger, Inc.	Donald Macpherson	10455844	10.455844	67316	155
PEG	Public Service Enterprise Group Incorporated	Ralph Izzo	10419291	10.419291	133067	78
CBRE	CBRE Group, Inc.	Robert Sulentic	10334821	10.334821	65849	157
ETR	Entergy Corporation	Leo Denault	10326456	10.326456	123392	84
STZ	Constellation Brands, Inc.	Robert Sands	10312778	10.312778	53851	192
EW	Edwards Lifesciences Corp.	Michael Mussallem	10278949	10.278949	49936	206
VAR	Varian Medical Systems, Inc.	Dow Wilson	10276439	10.276439	144511	71
PKG	Packaging Corporation of America	Mark Kowlzan	10265569	10.265569	76730	134
KEYS	Keysight Technologies, Inc.	Ronald Nersesian	10240253	10.240253	115035	89
ANSS	ANSYS, Inc.	Ajei Gopal	10164184	10.164184	142631	71
IEX	IDEX Corp.	Andrew Silvernail	10125650	10.125650	63175	160
APH	Amphenol Corp.	R. Norwitt	10110360	10.110360	13197	766
CMA	Comerica Incorporated	Ralph Babb	10039842	10.039842	81479	123
FMC	FMC Corporation	PIERRE BRONDEAU	9994552	9.9945520	53840	186
K	Kellogg Company	Steven Cahillane	9989992	9.9899920	46948	213
JNPR	Juniper Networks, Inc.	Rami Rahim	9984326	9.9843260	131633	76
ADS	Alliance Data Systems Corporation	Edward Heffernan	9978474	9.9784740	62680	159
DGX	Quest Diagnostics Incorporated	Stephen Rusckowski	9953287	9.9532870	46749	213
PCAR	PACCAR Inc	Ronald Armstrong	9929242	9.9292420	74104	134
UNM	Unum Group	Richard McKenney	9896861	9.8968610	62475	158
WEC	WEC Energy Group, Inc.	Gale Klappa	9862993	9.8629930	107894	91
GIS	General Mills, Inc.	Jeffrey Harmening	9855417	9.8554170	57177	172
